     2    0.11158E+04    0.55734E-01    0.00000E+00    0.36045E+01    0.52713E-07    0.32901E-02   -0.16878E-04
     3    0.10497E+04    0.94478E-01    0.00000E+00    0.45455E+01    0.63993E-07    0.32949E-02   -0.21027E-04
     4    0.98529E+03    0.11048E+00    0.00000E+00    0.47199E+01    0.73671E-07    0.32271E-02   -0.21682E-04
     5    0.93450E+03    0.10222E+00    0.00000E+00    0.44237E+01    0.82061E-07    0.31291E-02   -0.19702E-04
     6    0.89721E+03    0.78890E-01    0.00000E+00    0.38940E+01    0.89372E-07    0.30190E-02   -0.15905E-04
     7    0.87111E+03    0.52279E-01    0.00000E+00    0.32847E+01    0.95799E-07    0.29055E-02   -0.11138E-04
     8    0.85324E+03    0.30869E-01    0.00000E+00    0.26887E+01    0.10148E-06    0.27925E-02   -0.61887E-05
     9    0.84289E+03    0.17804E-01    0.00000E+00    0.21647E+01    0.10654E-06    0.26805E-02   -0.17208E-05
    10    0.83714E+03    0.11950E-01    0.00000E+00    0.17378E+01    0.11104E-06    0.25734E-02    0.17873E-05
    11    0.83514E+03    0.10228E-01    0.00000E+00    0.14238E+01    0.11508E-06    0.24742E-02    0.40724E-05
    12    0.83716E+03    0.97973E-02    0.00000E+00    0.12233E+01    0.11867E-06    0.23810E-02    0.50731E-05
    13    0.84146E+03    0.91360E-02    0.00000E+00    0.11209E+01    0.12191E-06    0.22962E-02    0.49205E-05
    14    0.84715E+03    0.80211E-02    0.00000E+00    0.10961E+01    0.12480E-06    0.22168E-02    0.38844E-05
    15    0.85435E+03    0.69109E-02    0.00000E+00    0.11259E+01    0.12740E-06    0.21428E-02    0.23027E-05
    16    0.86316E+03    0.62786E-02    0.00000E+00    0.11886E+01    0.12975E-06    0.20734E-02    0.51259E-06
    17    0.87332E+03    0.62603E-02    0.00000E+00    0.12653E+01    0.13182E-06    0.20077E-02   -0.11787E-05
    18    0.88387E+03    0.66626E-02    0.00000E+00    0.13420E+01    0.13370E-06    0.19461E-02   -0.25175E-05
    19    0.89600E+03    0.71835E-02    0.00000E+00    0.14123E+01    0.13537E-06    0.18866E-02   -0.33407E-05
    20    0.90835E+03    0.76173E-02    0.00000E+00    0.14695E+01    0.13685E-06    0.18296E-02   -0.36107E-05
