     2    0.11158E+04    0.55736E-01    0.17452E-05    0.36045E+01
     3    0.10497E+04    0.94482E-01    0.36700E-05    0.45455E+01
     4    0.98530E+03    0.11049E+00    0.61864E-05    0.47199E+01
     5    0.93452E+03    0.10223E+00    0.93487E-05    0.44237E+01
     6    0.89724E+03    0.78902E-01    0.13093E-04    0.38939E+01
     7    0.87115E+03    0.52296E-01    0.17487E-04    0.32846E+01
     8    0.85328E+03    0.30891E-01    0.22482E-04    0.26886E+01
     9    0.84294E+03    0.17832E-01    0.28163E-04    0.21646E+01
    10    0.83721E+03    0.11984E-01    0.34412E-04    0.17378E+01
    11    0.83522E+03    0.10269E-01    0.41323E-04    0.14238E+01
    12    0.83725E+03    0.98460E-02    0.48877E-04    0.12232E+01
    13    0.84156E+03    0.91928E-02    0.57059E-04    0.11209E+01
    14    0.84727E+03    0.80867E-02    0.65871E-04    0.10960E+01
    15    0.85448E+03    0.69860E-02    0.75306E-04    0.11259E+01
    16    0.86331E+03    0.63639E-02    0.85390E-04    0.11885E+01
    17    0.87349E+03    0.63563E-02    0.96100E-04    0.12652E+01
    18    0.88405E+03    0.67700E-02    0.10750E-03    0.13419E+01
    19    0.89620E+03    0.73028E-02    0.11952E-03    0.14122E+01
    20    0.90857E+03    0.77493E-02    0.13218E-03    0.14693E+01
    21    0.92144E+03    0.81037E-02    0.14551E-03    0.15139E+01
    22    0.93478E+03    0.85086E-02    0.15947E-03    0.15483E+01
    23    0.94851E+03    0.91391E-02    0.17410E-03    0.15778E+01
    24    0.96261E+03    0.10104E-01    0.18937E-03    0.16065E+01
    25    0.97705E+03    0.11418E-01    0.20528E-03    0.16372E+01
    26    0.99176E+03    0.13032E-01    0.22185E-03    0.16734E+01
    27    0.10068E+04    0.14882E-01    0.23908E-03    0.17143E+01
    28    0.10221E+04    0.16935E-01    0.25697E-03    0.17593E+01
    29    0.10376E+04    0.19186E-01    0.27552E-03    0.18068E+01
    30    0.10534E+04    0.21645E-01    0.29473E-03    0.18527E+01
    31    0.10693E+04    0.24312E-01    0.31460E-03    0.18932E+01
    32    0.10855E+04    0.27173E-01    0.33513E-03    0.19252E+01
    33    0.11019E+04    0.30194E-01    0.35632E-03    0.19456E+01
    34    0.11185E+04    0.33359E-01    0.37817E-03    0.19522E+01
    35    0.11354E+04    0.36671E-01    0.40068E-03    0.19447E+01
    36    0.11524E+04    0.40161E-01    0.42386E-03    0.19231E+01
    37    0.11695E+04    0.43881E-01    0.44772E-03    0.18888E+01
    38    0.11869E+04    0.47871E-01    0.47224E-03    0.18440E+01
    39    0.12045E+04    0.52141E-01    0.49742E-03    0.17894E+01
    40    0.12223E+04    0.56696E-01    0.52328E-03    0.17251E+01
    41    0.12403E+04    0.61536E-01    0.54979E-03    0.16517E+01
    42    0.12584E+04    0.66665E-01    0.57697E-03    0.15716E+01
    43    0.12766E+04    0.72084E-01    0.60481E-03    0.14860E+01
    44    0.12950E+04    0.77790E-01    0.63331E-03    0.13909E+01
    45    0.13137E+04    0.83761E-01    0.66249E-03    0.12837E+01
    46    0.13325E+04    0.90005E-01    0.69233E-03    0.11646E+01
    47    0.13515E+04    0.96519E-01    0.72284E-03    0.10340E+01
    48    0.13705E+04    0.10330E+00    0.75401E-03    0.89021E+00
    49    0.13898E+04    0.11035E+00    0.78585E-03    0.73147E+00
